"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 15:50:09 IST 2023","Fri Aug 11 15:50:40 IST 2023","30958","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","clickOnConsignment","clickOnConsignment",""
"passed","Wed May 17 18:24:04 IST 2023","Wed May 17 18:26:16 IST 2023","132533","Valid Login Scenario (2)","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Fri Aug 11 15:50:40 IST 2023","Fri Aug 11 15:50:51 IST 2023","11053","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","clickOnAccordian","clickOnAccordian",""
"passed","Fri May 12 15:58:23 IST 2023","Fri May 12 16:00:33 IST 2023","129146","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Mon Aug 07 17:10:09 IST 2023","Mon Aug 07 17:12:21 IST 2023","132287","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon Aug 07 17:38:38 IST 2023","Mon Aug 07 17:40:20 IST 2023","102211","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Mon May 08 12:45:24 IST 2023","Mon May 08 12:47:59 IST 2023","154874","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","doStarted","doStarted",""
"passed","Mon May 08 14:05:55 IST 2023","Mon May 08 14:08:10 IST 2023","134867","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"broken","Wed May 17 18:19:01 IST 2023","Wed May 17 18:22:00 IST 2023","178780","Valid Login Scenario (1)","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"broken","Fri May 12 14:10:06 IST 2023","Fri May 12 14:12:18 IST 2023","132406","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Tue Aug 08 10:49:46 IST 2023","Tue Aug 08 10:52:02 IST 2023","136154","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Tue Aug 08 10:48:47 IST 2023","Tue Aug 08 10:49:17 IST 2023","30313","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","clickOnConsignment","clickOnConsignment","Verify valid user are allowed to access"
"broken","Tue Aug 01 15:18:08 IST 2023","Tue Aug 01 15:20:08 IST 2023","120399","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon Aug 07 17:12:21 IST 2023","Mon Aug 07 17:14:03 IST 2023","101717","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Wed May 17 17:11:13 IST 2023","Wed May 17 17:14:51 IST 2023","218440","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Tue Aug 08 10:55:13 IST 2023","Tue Aug 08 10:55:40 IST 2023","27209","Valid Login Scenario (0)","Test Consignment ExternalUser assigned SingleBilledTos","pages.TestAutoGenConsignmentIDExtUser","pages.TestAutoGenConsignmentIDExtUser","clickOnAccordianAndSelectExternalUserCompany","clickOnAccordianAndSelectExternalUserCompany",""
"passed","Wed May 17 18:11:23 IST 2023","Wed May 17 18:13:52 IST 2023","149297","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","doStarted","doStarted",""
"passed","Tue Aug 08 10:49:18 IST 2023","Tue Aug 08 10:49:45 IST 2023","27368","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","clickOnAccordianAndSelectExternalUserCompany","clickOnAccordianAndSelectExternalUserCompany",""
"broken","Mon May 08 16:57:49 IST 2023","Mon May 08 16:59:47 IST 2023","118059","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"passed","Mon May 08 14:08:10 IST 2023","Mon May 08 14:09:50 IST 2023","100488","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
